collection_id,loan_id,collection_date,collection_stage,action_type,contact_attempt_number,collection_status,promise_to_pay_flag,promise_amount,promise_date
COL005224007,L005224,2023-07-07,Legal,Legal Action,7,Escalated,FALSE,,
COL005224008,L005224,2023-11-19,Early,SMS,1,Contacted,TRUE,2921.73,2023-11-28
COL005224009,L005224,2026-01-07,Early,SMS,2,No Response,TRUE,2921.73,2026-01-22
COL005226001,L005226,2022-07-09,Early,SMS,1,Contacted,TRUE,883.09,2022-08-01
COL005226002,L005226,2022-08-22,Legal,Legal Action,2,No Response,FALSE,,
COL005226003,L005226,2022-10-18,Early,SMS,1,No Response,FALSE,,
COL005226004,L005226,2022-11-18,Legal,Legal Action,2,Contacted,FALSE,,
COL005227001,L005227,2022-09-15,Early,SMS,1,Contacted,TRUE,4807.2,2022-09-25
COL005227002,L005227,2022-10-22,Legal,Legal Action,2,No Response,FALSE,,
COL005227003,L005227,2024-05-20,Early,SMS,1,Promise Made,FALSE,,
COL005227004,L005227,2024-10-18,Early,SMS,2,Promise Made,TRUE,3956.33,2024-10-26
COL005227005,L005227,2025-03-17,Early,SMS,3,No Response,TRUE,3956.33,2025-03-26
COL005227006,L005227,2025-06-10,Early,SMS,4,Escalated,FALSE,,
COL005227007,L005227,2025-10-12,Early,SMS,5,Promise Made,FALSE,,
COL005227008,L005227,2025-12-16,Early,SMS,6,Escalated,TRUE,3956.33,2025-12-31
COL005228001,L005228,2022-07-11,Early,SMS,1,No Response,TRUE,7819.08,2022-07-28
COL005228002,L005228,2022-12-08,Early,SMS,2,Escalated,TRUE,7819.08,2022-12-26
COL005228003,L005228,2023-02-08,Early,SMS,3,Escalated,FALSE,,
COL005228004,L005228,2024-07-13,Early,SMS,4,No Response,TRUE,7819.08,2024-07-29
COL005228005,L005228,2025-07-11,Early,SMS,5,No Response,TRUE,7819.08,2025-07-24
COL005229001,L005229,2023-03-11,Early,SMS,1,Escalated,FALSE,,
COL005229002,L005229,2025-04-14,Early,SMS,2,Promise Made,FALSE,,
COL005231001,L005231,2022-08-16,Early,SMS,1,No Response,FALSE,,
COL005231002,L005231,2022-11-12,Mid,Phone Call,2,Escalated,FALSE,,
COL005231003,L005231,2022-12-20,Early,SMS,3,Promise Made,TRUE,4291.64,2022-12-23
COL005231004,L005231,2023-01-10,Legal,Legal Action,4,Contacted,FALSE,,
COL005231005,L005231,2023-02-14,Mid,Phone Call,5,Contacted,FALSE,,
COL005231006,L005231,2023-04-13,Mid,Phone Call,6,Promise Made,FALSE,,
COL005231007,L005231,2023-06-13,Legal,Legal Action,7,Contacted,FALSE,,
COL005231008,L005231,2023-07-21,Early,SMS,1,Escalated,FALSE,,
COL005231009,L005231,2024-04-18,Early,SMS,2,Contacted,FALSE,,
COL005231010,L005231,2025-08-16,Early,SMS,3,Promise Made,FALSE,,
COL005231011,L005231,2026-02-11,Early,SMS,4,Contacted,FALSE,,
COL005231012,L005231,2026-03-17,Early,SMS,5,Escalated,FALSE,,
COL005232001,L005232,2022-08-08,Early,SMS,1,Escalated,TRUE,1379.09,2022-08-31
COL005232002,L005232,2022-10-22,Legal,Legal Action,2,Escalated,FALSE,,
COL005233001,L005233,2023-06-08,Early,SMS,1,No Response,FALSE,,
COL005233002,L005233,2023-07-22,Early,SMS,2,Promise Made,TRUE,3497.42,2023-07-28
COL005233003,L005233,2023-10-22,Legal,Legal Action,3,Contacted,FALSE,,
COL005234001,L005234,2024-05-13,Early,SMS,1,Contacted,FALSE,,
COL005234002,L005234,2024-11-15,Early,SMS,2,Escalated,FALSE,,
COL005235001,L005235,2022-11-17,Early,SMS,1,Promise Made,FALSE,,
COL005235002,L005235,2023-01-22,Early,SMS,2,Contacted,FALSE,,
COL005235003,L005235,2023-09-19,Early,SMS,3,Escalated,TRUE,2363.1,2023-09-25
COL005235004,L005235,2024-02-16,Early,SMS,4,Promise Made,FALSE,,
COL005236001,L005236,2023-08-14,Legal,Legal Action,1,Escalated,FALSE,,
COL005236002,L005236,2023-09-16,Early,SMS,1,Contacted,TRUE,2503.44,2023-09-29
COL005236003,L005236,2024-03-12,Early,SMS,2,Contacted,TRUE,2503.44,2024-03-26
COL005236004,L005236,2024-04-11,Legal,Legal Action,3,Escalated,FALSE,,
COL005236005,L005236,2025-07-10,Early,SMS,4,No Response,FALSE,,
COL005236006,L005236,2026-03-12,Early,SMS,5,Escalated,FALSE,,
COL005236007,L005236,2026-06-11,Early,SMS,6,Contacted,TRUE,2503.44,2026-07-01
COL005237001,L005237,2022-08-16,Legal,Legal Action,1,No Response,FALSE,,
COL005238001,L005238,2022-07-17,Early,SMS,1,Escalated,TRUE,6526.08,2022-07-27
COL005238002,L005238,2022-12-17,Legal,Legal Action,2,No Response,TRUE,6526.08,2022-12-31
COL005240001,L005240,2023-04-21,Early,SMS,1,Promise Made,TRUE,6098.84,2023-05-01
COL005240002,L005240,2024-08-23,Early,SMS,2,Promise Made,TRUE,6098.84,2024-08-29
COL005241001,L005241,2023-12-12,Early,SMS,1,Contacted,TRUE,5992.54,2023-12-27
COL005241002,L005241,2024-05-21,Early,SMS,2,Escalated,FALSE,,
COL005241003,L005241,2024-08-16,Early,SMS,3,Promise Made,TRUE,5992.54,2024-08-29
COL005241004,L005241,2025-01-13,Early,SMS,4,Contacted,FALSE,,
COL005242001,L005242,2022-07-23,Early,SMS,1,Promise Made,TRUE,7107.15,2022-07-27
COL005242002,L005242,2022-08-14,Early,SMS,2,Contacted,FALSE,,
COL005242003,L005242,2022-09-21,Early,SMS,3,Contacted,FALSE,,
COL005242004,L005242,2022-10-16,Early,SMS,4,Escalated,FALSE,,
COL005242005,L005242,2023-02-23,Early,SMS,5,Escalated,FALSE,,
COL005242006,L005242,2023-03-18,Early,SMS,6,Escalated,FALSE,,
COL005242007,L005242,2023-08-17,Early,SMS,7,No Response,FALSE,,
COL005242008,L005242,2023-09-19,Legal,Legal Action,8,No Response,FALSE,,
COL005242009,L005242,2023-12-10,Mid,Phone Call,9,Contacted,FALSE,,
COL005242010,L005242,2024-01-22,Early,SMS,10,No Response,FALSE,,
COL005242011,L005242,2024-06-23,Early,SMS,11,No Response,FALSE,,
COL005242012,L005242,2024-07-18,Early,SMS,12,No Response,FALSE,,
COL005243001,L005243,2022-10-12,Early,SMS,1,Escalated,TRUE,5267.39,2022-10-24
COL005243002,L005243,2024-03-18,Early,SMS,2,Contacted,FALSE,,
COL005243003,L005243,2024-08-22,Early,SMS,3,Escalated,FALSE,,
COL005244001,L005244,2024-10-11,Early,SMS,1,Escalated,FALSE,,
COL005245001,L005245,2022-08-17,Mid,Phone Call,1,Escalated,TRUE,5942.73,2022-08-26
COL005245002,L005245,2022-09-16,Early,SMS,2,Contacted,FALSE,,
COL005245003,L005245,2023-02-10,Early,SMS,3,Escalated,FALSE,,
COL005245004,L005245,2023-03-10,Legal,Legal Action,4,Contacted,FALSE,,
COL005245005,L005245,2023-06-20,Early,SMS,1,No Response,FALSE,,
COL005245006,L005245,2023-11-18,Early,SMS,2,Promise Made,FALSE,,
COL005245007,L005245,2023-12-14,Early,SMS,3,Promise Made,FALSE,,
COL005246001,L005246,2022-07-15,Mid,Phone Call,1,Escalated,FALSE,,
COL005246002,L005246,2022-08-09,Early,SMS,2,Escalated,FALSE,,
COL005246003,L005246,2022-09-20,Legal,Legal Action,3,Escalated,FALSE,,
COL005248001,L005248,2022-08-22,Legal,Legal Action,1,Escalated,TRUE,6349.79,2022-09-02
COL005248002,L005248,2022-09-21,Early,SMS,1,Promise Made,FALSE,,
COL005248003,L005248,2023-01-15,Early,SMS,2,No Response,FALSE,,
COL005249001,L005249,2023-02-21,Early,SMS,1,Escalated,TRUE,8204.53,2023-02-28
COL005249002,L005249,2023-06-14,Early,SMS,2,Promise Made,FALSE,,
COL005249003,L005249,2023-07-15,Early,SMS,3,No Response,FALSE,,
COL005249004,L005249,2023-08-13,Legal,Legal Action,4,Escalated,FALSE,,
COL005249005,L005249,2024-10-17,Legal,Legal Action,1,Contacted,FALSE,,
COL005250001,L005250,2022-11-24,Early,SMS,1,Contacted,FALSE,,
COL005250002,L005250,2023-05-17,Early,SMS,2,Escalated,TRUE,2729.39,2023-05-25
COL005250003,L005250,2023-07-21,Early,SMS,3,Promise Made,TRUE,2729.39,2023-07-26
COL005250004,L005250,2024-03-20,Early,SMS,4,Promise Made,FALSE,,
COL005251001,L005251,2022-11-17,Early,SMS,1,No Response,TRUE,5557.31,2022-12-01
COL005251002,L005251,2023-02-18,Early,SMS,2,Escalated,FALSE,,
COL005252001,L005252,2023-12-12,Early,SMS,1,No Response,FALSE,,
COL005253001,L005253,2024-05-21,Legal,Legal Action,1,Escalated,FALSE,,
COL005254001,L005254,2023-01-19,Early,SMS,1,Escalated,TRUE,4420.13,2023-01-30
COL005255001,L005255,2022-08-19,Mid,Phone Call,1,Escalated,TRUE,8593.25,2022-09-01
COL005255002,L005255,2022-10-15,Mid,Phone Call,2,Contacted,TRUE,8593.25,2022-11-03
COL005255003,L005255,2022-11-15,Early,SMS,3,No Response,FALSE,,
COL005255004,L005255,2023-03-17,Early,SMS,4,Contacted,FALSE,,
COL005255005,L005255,2023-04-24,Mid,Phone Call,5,Escalated,FALSE,,
COL005255006,L005255,2023-05-24,Early,SMS,6,Escalated,FALSE,,
COL005255007,L005255,2023-06-24,Early,SMS,7,Escalated,FALSE,,
COL005255008,L005255,2023-09-13,Early,SMS,8,No Response,FALSE,,
COL005256001,L005256,2022-12-13,Legal,Legal Action,1,Promise Made,FALSE,,
COL005257001,L005257,2024-03-16,Early,SMS,1,Contacted,TRUE,2786.54,2024-03-31
COL005257002,L005257,2024-10-15,Early,SMS,2,Escalated,FALSE,,
COL005258001,L005258,2022-08-21,Early,SMS,1,Promise Made,TRUE,6853.07,2022-08-27
COL005258002,L005258,2022-10-17,Early,SMS,2,Contacted,FALSE,,
COL005258003,L005258,2023-01-21,Legal,Legal Action,3,No Response,FALSE,,
COL005258004,L005258,2023-12-22,Early,SMS,1,Contacted,FALSE,,
COL005258005,L005258,2024-10-17,Early,SMS,2,Promise Made,TRUE,5298.21,2024-10-25
COL005258006,L005258,2025-06-14,Early,SMS,3,Escalated,TRUE,5298.21,2025-06-27
COL005259001,L005259,2024-01-10,Early,SMS,1,No Response,TRUE,661.53,2024-02-01
COL005260001,L005260,2022-11-11,Early,SMS,1,No Response,FALSE,,
COL005261001,L005261,2022-08-10,Early,SMS,1,Promise Made,FALSE,,
COL005261002,L005261,2022-09-15,Early,SMS,2,Contacted,TRUE,3104.15,2022-10-04
COL005261003,L005261,2022-12-17,Early,SMS,3,Escalated,FALSE,,
COL005261004,L005261,2023-03-12,Mid,Phone Call,4,Promise Made,FALSE,,
COL005261005,L005261,2023-04-17,Early,SMS,5,Escalated,FALSE,,
COL005261006,L005261,2023-07-24,Legal,Legal Action,6,No Response,FALSE,,
COL005261007,L005261,2023-10-22,Early,SMS,1,Contacted,TRUE,1921.63,2023-10-25
COL005261008,L005261,2024-09-10,Early,SMS,2,Escalated,FALSE,,
COL005261009,L005261,2025-04-11,Early,SMS,3,Contacted,FALSE,,
COL005262001,L005262,2023-05-16,Early,SMS,1,Escalated,TRUE,821.43,2023-05-25
COL005262002,L005262,2024-02-22,Early,SMS,2,Escalated,FALSE,,
COL005262003,L005262,2024-04-16,Early,SMS,3,Promise Made,TRUE,821.43,2024-05-04
COL005262004,L005262,2024-06-21,Early,SMS,4,Escalated,FALSE,,
COL005263001,L005263,2022-08-11,Early,SMS,1,Promise Made,FALSE,,
COL005263002,L005263,2023-01-12,Early,SMS,2,No Response,TRUE,6790.62,2023-01-30
COL005263003,L005263,2023-02-10,Early,SMS,3,Escalated,FALSE,,
COL005263004,L005263,2023-04-23,Early,SMS,4,Promise Made,TRUE,6790.62,2023-04-25
COL005263005,L005263,2023-06-19,Early,SMS,5,Contacted,TRUE,6790.62,2023-07-04
COL005263006,L005263,2023-07-19,Early,SMS,6,Promise Made,FALSE,,
COL005263007,L005263,2023-12-18,Early,SMS,7,Escalated,FALSE,,
COL005263008,L005263,2024-03-14,Legal,Legal Action,8,Escalated,FALSE,,
COL005263009,L005263,2024-04-24,Legal,Legal Action,1,Contacted,FALSE,,
COL005264001,L005264,2022-09-17,Early,SMS,1,No Response,TRUE,10130.38,2022-09-29
COL005264002,L005264,2022-11-18,Early,SMS,2,Promise Made,FALSE,,
COL005265001,L005265,2023-09-22,Legal,Legal Action,1,Contacted,FALSE,,
COL005266001,L005266,2022-11-21,Early,SMS,1,Escalated,FALSE,,
COL005266002,L005266,2024-03-22,Legal,Legal Action,2,No Response,TRUE,1399.66,2024-04-03
COL005267001,L005267,2022-09-11,Early,SMS,1,Promise Made,TRUE,17732.21,2022-09-27
COL005267002,L005267,2023-01-13,Early,SMS,2,No Response,TRUE,17732.21,2023-02-01
COL005267003,L005267,2023-03-17,Mid,Phone Call,3,No Response,FALSE,,
COL005267004,L005267,2023-07-20,Legal,Legal Action,4,Escalated,TRUE,17732.21,2023-08-01
COL005268001,L005268,2023-03-18,Early,SMS,1,Promise Made,FALSE,,
COL005269001,L005269,2022-11-13,Legal,Legal Action,1,Escalated,TRUE,583.18,2022-12-04
COL005269002,L005269,2024-01-24,Early,SMS,1,No Response,TRUE,480.39,2024-02-03
COL005269003,L005269,2024-10-23,Early,SMS,2,Contacted,TRUE,480.39,2024-10-27
COL005270001,L005270,2023-09-16,Early,SMS,1,No Response,TRUE,12899.39,2023-09-27
COL005270002,L005270,2023-11-13,Early,SMS,2,No Response,TRUE,12899.39,2023-12-02
COL005270003,L005270,2025-07-20,Early,SMS,3,Promise Made,FALSE,,
COL005271001,L005271,2022-07-20,Legal,Legal Action,1,Contacted,FALSE,,
COL005272001,L005272,2022-07-12,Mid,Phone Call,1,Contacted,FALSE,,
COL005272002,L005272,2022-09-21,Early,SMS,2,Contacted,FALSE,,
COL005272003,L005272,2022-10-22,Mid,Phone Call,3,No Response,FALSE,,
COL005272004,L005272,2022-12-25,Early,SMS,4,Escalated,FALSE,,
COL005272005,L005272,2023-01-26,Early,SMS,5,Contacted,TRUE,5415.34,2023-02-03
COL005272006,L005272,2023-02-15,Early,SMS,6,Contacted,FALSE,,
COL005272007,L005272,2023-03-22,Mid,Phone Call,7,No Response,TRUE,5415.34,2023-04-02
COL005272008,L005272,2023-06-15,Early,SMS,8,Escalated,FALSE,,
COL005273001,L005273,2022-08-25,Early,SMS,1,Escalated,FALSE,,
COL005273002,L005273,2022-10-21,Early,SMS,2,Contacted,TRUE,5476.28,2022-11-01
COL005273003,L005273,2022-11-24,Legal,Legal Action,3,Promise Made,FALSE,,
COL005274001,L005274,2022-10-16,Early,SMS,1,Promise Made,TRUE,3587.81,2022-10-30
COL005274002,L005274,2023-06-13,Legal,Legal Action,2,Contacted,FALSE,,
COL005274003,L005274,2024-05-22,Early,SMS,3,No Response,TRUE,3587.81,2024-06-01
COL005274004,L005274,2024-08-24,Early,SMS,4,Contacted,FALSE,,
COL005274005,L005274,2025-04-25,Early,SMS,5,Escalated,TRUE,3587.81,2025-04-27
COL005275001,L005275,2024-01-25,Early,SMS,1,Promise Made,TRUE,12725.29,2024-02-05
COL005275002,L005275,2024-04-23,Early,SMS,2,Contacted,FALSE,,
COL005275003,L005275,2024-06-20,Early,SMS,3,No Response,FALSE,,
COL005276001,L005276,2022-10-12,Early,SMS,1,Contacted,FALSE,,
COL005276002,L005276,2023-07-22,Legal,Legal Action,2,Contacted,TRUE,1213,2023-07-29
COL005276003,L005276,2024-03-17,Early,SMS,1,Promise Made,TRUE,596.12,2024-03-30
COL005276004,L005276,2025-07-22,Early,SMS,2,Promise Made,FALSE,,
COL005276005,L005276,2025-10-12,Early,SMS,3,Promise Made,FALSE,,
COL005277001,L005277,2023-06-14,Early,SMS,1,Contacted,FALSE,,
COL005277002,L005277,2024-01-20,Early,SMS,2,No Response,TRUE,8758.02,2024-01-29
COL005279001,L005279,2022-12-23,Early,SMS,1,Promise Made,TRUE,1926.88,2022-12-29
COL005280001,L005280,2022-10-23,Early,SMS,1,Contacted,FALSE,,
COL005281001,L005281,2022-07-24,Early,SMS,1,Contacted,TRUE,9985.16,2022-07-30
COL005281002,L005281,2022-09-25,Early,SMS,2,Escalated,FALSE,,
COL005281003,L005281,2024-02-23,Early,SMS,3,No Response,TRUE,9985.16,2024-03-08
COL005282001,L005282,2022-09-13,Early,SMS,1,Promise Made,TRUE,6235.12,2022-10-04
COL005282002,L005282,2022-10-20,Early,SMS,2,Contacted,FALSE,,
COL005282003,L005282,2024-06-23,Early,SMS,3,No Response,TRUE,6235.04,2024-07-02
COL005283001,L005283,2022-08-15,Early,SMS,1,Contacted,FALSE,,
COL005283002,L005283,2023-02-19,Early,SMS,2,Promise Made,FALSE,,
COL005283003,L005283,2023-10-24,Early,SMS,3,Contacted,TRUE,8730.78,2023-11-03
COL005283004,L005283,2024-02-22,Early,SMS,4,Contacted,FALSE,,
COL005283005,L005283,2024-03-21,Early,SMS,5,Contacted,FALSE,,
COL005283006,L005283,2024-08-25,Early,SMS,6,Escalated,FALSE,,
COL005283007,L005283,2024-09-23,Early,SMS,7,No Response,TRUE,8730.78,2024-10-06
COL005283008,L005283,2024-10-15,Early,SMS,8,Escalated,TRUE,8730.78,2024-10-30
COL005284001,L005284,2025-03-19,Early,SMS,1,Escalated,FALSE,,
COL005284002,L005284,2025-10-21,Early,SMS,2,Contacted,TRUE,6115.65,2025-10-31
COL005285001,L005285,2022-08-14,Early,SMS,1,No Response,FALSE,,
COL005285002,L005285,2023-03-22,Early,SMS,2,Escalated,FALSE,,
COL005285003,L005285,2023-09-19,Early,SMS,3,Contacted,FALSE,,
COL005285004,L005285,2024-05-25,Early,SMS,4,Escalated,FALSE,,
COL005285005,L005285,2024-07-14,Early,SMS,5,Contacted,TRUE,2357.43,2024-08-01
COL005285006,L005285,2024-09-13,Early,SMS,6,Promise Made,FALSE,,
COL005285007,L005285,2025-08-17,Legal,Legal Action,7,No Response,TRUE,2357.43,2025-08-30
COL005285008,L005285,2025-12-27,Early,SMS,1,Promise Made,FALSE,,
COL005285009,L005285,2026-08-15,Early,SMS,2,Contacted,FALSE,,
COL005286001,L005286,2022-12-17,Early,SMS,1,Promise Made,FALSE,,
COL005287001,L005287,2022-11-23,Legal,Legal Action,1,No Response,FALSE,,
COL005288001,L005288,2023-07-25,Early,SMS,1,Escalated,TRUE,18480.85,2023-07-30
COL005288002,L005288,2024-01-22,Early,SMS,2,No Response,FALSE,,
COL005289001,L005289,2022-09-20,Early,SMS,1,Promise Made,FALSE,,
COL005289002,L005289,2023-11-28,Early,SMS,2,Contacted,FALSE,,
COL005289003,L005289,2024-01-25,Early,SMS,3,Escalated,FALSE,,
COL005289004,L005289,2024-03-22,Early,SMS,4,Contacted,FALSE,,
COL005289005,L005289,2024-09-23,Early,SMS,5,Promise Made,FALSE,,
COL005289006,L005289,2024-10-23,Early,SMS,6,No Response,FALSE,,
COL005289007,L005289,2024-12-15,Early,SMS,7,Contacted,FALSE,,
COL005291001,L005291,2022-12-24,Early,SMS,1,Promise Made,FALSE,,
COL005291002,L005291,2023-04-25,Early,SMS,2,Escalated,FALSE,,
COL005291003,L005291,2024-10-28,Early,SMS,3,Promise Made,FALSE,,
COL005291004,L005291,2026-02-23,Early,SMS,4,Contacted,FALSE,,
COL005292001,L005292,2022-09-16,Legal,Legal Action,1,Contacted,FALSE,,
COL005293001,L005293,2024-02-19,Early,SMS,1,Promise Made,FALSE,,
COL005293002,L005293,2024-03-24,Early,SMS,2,No Response,TRUE,1402.91,2024-04-01
COL005294001,L005294,2023-03-26,Early,SMS,1,Escalated,FALSE,,
COL005295001,L005295,2022-10-26,Legal,Legal Action,1,No Response,FALSE,,
COL005295002,L005295,2022-11-15,Early,SMS,2,Promise Made,FALSE,,
COL005295003,L005295,2023-02-23,Early,SMS,3,Contacted,TRUE,8110.59,2023-03-06
COL005295004,L005295,2023-04-22,Early,SMS,4,Contacted,FALSE,,
COL005296001,L005296,2022-07-28,Early,SMS,1,No Response,TRUE,1274.35,2022-07-31
COL005296002,L005296,2023-01-18,Early,SMS,2,Promise Made,TRUE,1274.35,2023-02-06
COL005296003,L005296,2023-10-24,Legal,Legal Action,3,Contacted,FALSE,,
COL005296004,L005296,2024-07-19,Early,SMS,4,Promise Made,FALSE,,
COL005296005,L005296,2024-08-16,Early,SMS,5,Escalated,FALSE,,
COL005297001,L005297,2022-07-28,Legal,Legal Action,1,Contacted,TRUE,634.4,2022-08-03
COL005298001,L005298,2022-10-28,Early,SMS,1,Promise Made,TRUE,16330.81,2022-11-04
COL005298002,L005298,2022-11-29,Early,SMS,2,Contacted,FALSE,,
COL005298003,L005298,2022-12-26,Early,SMS,3,Escalated,FALSE,,
COL005299001,L005299,2022-07-17,Early,SMS,1,No Response,TRUE,3067.46,2022-08-08
COL005299002,L005299,2022-08-28,Early,SMS,2,Escalated,FALSE,,
COL005299003,L005299,2022-10-16,Legal,Legal Action,3,Promise Made,FALSE,,
COL005299004,L005299,2023-01-22,Legal,Legal Action,4,Promise Made,FALSE,,
COL005299005,L005299,2023-03-25,Mid,Phone Call,5,Promise Made,FALSE,,
COL005299006,L005299,2023-05-18,Early,SMS,6,Promise Made,FALSE,,
COL005299007,L005299,2023-06-22,Early,SMS,7,No Response,FALSE,,
COL005299008,L005299,2023-08-17,Mid,Phone Call,8,Promise Made,FALSE,,
COL005299009,L005299,2023-10-24,Legal,Legal Action,9,No Response,FALSE,,
COL005300001,L005300,2022-07-17,Early,SMS,1,Contacted,TRUE,6699.86,2022-08-03
COL005300002,L005300,2023-09-23,Early,SMS,2,No Response,TRUE,6699.86,2023-10-02
COL005301001,L005301,2022-08-16,Early,SMS,1,Escalated,TRUE,5979.11,2022-09-02
COL005302001,L005302,2022-09-28,Early,SMS,1,Escalated,TRUE,3986.65,2022-10-06
COL005302002,L005302,2022-12-21,Early,SMS,2,Promise Made,FALSE,,
COL005302003,L005302,2023-02-22,Early,SMS,3,Promise Made,FALSE,,
COL005302004,L005302,2023-03-16,Early,SMS,4,No Response,FALSE,,
COL005302005,L005302,2024-03-28,Early,SMS,5,Escalated,FALSE,,
COL005303001,L005303,2022-07-20,Mid,Phone Call,1,Promise Made,TRUE,9461.63,2022-08-02
COL005303002,L005303,2022-08-18,Early,SMS,2,Contacted,TRUE,9461.63,2022-09-04
COL005303003,L005303,2022-09-28,Early,SMS,3,Contacted,TRUE,9461.63,2022-10-03
COL005303004,L005303,2022-11-22,Early,SMS,4,Promise Made,FALSE,,
COL005303005,L005303,2023-03-21,Early,SMS,5,Escalated,FALSE,,
COL005303006,L005303,2023-07-29,Early,SMS,6,Contacted,TRUE,9461.63,2023-08-04
COL005303007,L005303,2023-08-23,Early,SMS,7,Escalated,FALSE,,
COL005303008,L005303,2023-10-24,Legal,Legal Action,8,Promise Made,TRUE,9461.63,2023-11-03
COL005304001,L005304,2022-07-21,Early,SMS,1,Escalated,FALSE,,
COL005304002,L005304,2022-09-29,Legal,Legal Action,2,No Response,FALSE,,
COL005304003,L005304,2022-10-21,Legal,Legal Action,3,Promise Made,FALSE,,
COL005305001,L005305,2022-08-24,Early,SMS,1,Escalated,FALSE,,
COL005305002,L005305,2023-03-25,Early,SMS,2,No Response,TRUE,8524.79,2023-04-08
COL005305003,L005305,2023-09-18,Early,SMS,3,Contacted,FALSE,,
COL005305004,L005305,2023-11-26,Early,SMS,4,Contacted,FALSE,,
COL005305005,L005305,2025-02-19,Early,SMS,5,Contacted,FALSE,,
COL005305006,L005305,2025-03-30,Early,SMS,6,Contacted,FALSE,,
COL005305007,L005305,2025-05-30,Early,SMS,7,Contacted,FALSE,,
COL005306001,L005306,2022-07-21,Early,SMS,1,Escalated,FALSE,,
COL005306002,L005306,2023-08-25,Early,SMS,2,Escalated,TRUE,4632.83,2023-09-04
COL005306003,L005306,2024-05-30,Legal,Legal Action,3,No Response,FALSE,,
COL005307001,L005307,2024-01-22,Early,SMS,1,No Response,FALSE,,
COL005307002,L005307,2024-03-01,Early,SMS,2,Promise Made,FALSE,,
COL005307003,L005307,2024-08-28,Early,SMS,3,No Response,FALSE,,
COL005307004,L005307,2025-11-19,Early,SMS,4,Escalated,TRUE,11403.64,2025-12-02
COL005308001,L005308,2022-07-23,Early,SMS,1,Promise Made,TRUE,2961.27,2022-08-08
COL005308002,L005308,2023-02-22,Early,SMS,2,Escalated,FALSE,,
COL005308003,L005308,2023-09-21,Early,SMS,3,Escalated,FALSE,,
COL005308004,L005308,2024-03-26,Early,SMS,4,Contacted,TRUE,2961.27,2024-04-08
COL005309001,L005309,2022-11-25,Early,SMS,1,Promise Made,FALSE,,
COL005310001,L005310,2022-09-21,Early,SMS,1,Promise Made,TRUE,1283.56,2022-10-02
COL005310002,L005310,2023-01-23,Early,SMS,2,No Response,FALSE,,
COL005310003,L005310,2023-07-21,Early,SMS,3,Escalated,FALSE,,
COL005310004,L005310,2023-10-21,Early,SMS,4,No Response,TRUE,1283.56,2023-11-03
COL005310005,L005310,2024-04-24,Early,SMS,5,Contacted,FALSE,,
COL005310006,L005310,2024-05-25,Early,SMS,6,Escalated,FALSE,,
COL005310007,L005310,2024-09-26,Mid,Phone Call,7,Promise Made,FALSE,,
COL005310008,L005310,2024-10-17,Early,SMS,8,Promise Made,FALSE,,
COL005310009,L005310,2024-11-26,Early,SMS,9,Contacted,TRUE,1283.56,2024-12-03
COL005310010,L005310,2024-12-16,Legal,Legal Action,10,Escalated,FALSE,,
COL005310011,L005310,2025-01-19,Mid,Phone Call,11,Escalated,FALSE,,
COL005310012,L005310,2025-03-20,Mid,Phone Call,12,Contacted,FALSE,,
COL005310013,L005310,2025-04-16,Early,SMS,13,Escalated,FALSE,,
COL005311001,L005311,2022-07-26,Early,SMS,1,No Response,FALSE,,
COL005311002,L005311,2022-08-29,Mid,Phone Call,2,Promise Made,TRUE,2790.91,2022-09-07
COL005311003,L005311,2022-09-30,Legal,Legal Action,3,Promise Made,FALSE,,
COL005311004,L005311,2022-12-20,Early,SMS,1,Contacted,TRUE,1495.55,2023-01-01
COL005311005,L005311,2023-02-24,Mid,Phone Call,2,Contacted,FALSE,,
COL005311006,L005311,2023-10-17,Legal,Legal Action,3,Promise Made,FALSE,,
COL005311007,L005311,2024-02-18,Mid,Phone Call,4,Contacted,FALSE,,
COL005311008,L005311,2024-06-23,Legal,Legal Action,5,Contacted,FALSE,,
COL005311009,L005311,2024-09-19,Early,SMS,6,Escalated,TRUE,1495.55,2024-10-04
COL005312001,L005312,2022-10-26,Early,SMS,1,Escalated,FALSE,,
COL005312002,L005312,2023-05-20,Early,SMS,2,No Response,FALSE,,
COL005312003,L005312,2023-06-30,Legal,Legal Action,3,Contacted,TRUE,4585.57,2023-07-06
COL005313001,L005313,2022-09-21,Early,SMS,1,No Response,FALSE,,
COL005313002,L005313,2022-10-29,Early,SMS,2,Contacted,FALSE,,
COL005313003,L005313,2022-11-21,Mid,Phone Call,3,No Response,FALSE,,
COL005313004,L005313,2023-03-01,Early,SMS,4,Escalated,FALSE,,
COL005313005,L005313,2023-03-20,Early,SMS,5,Contacted,TRUE,9065.84,2023-04-06
COL005313006,L005313,2023-07-24,Legal,Legal Action,6,Promise Made,FALSE,,
COL005313007,L005313,2023-10-24,Early,SMS,1,Promise Made,FALSE,,
COL005313008,L005313,2024-01-22,Early,SMS,2,Escalated,FALSE,,
COL005313009,L005313,2024-03-25,Early,SMS,3,Promise Made,TRUE,1405.74,2024-04-02
COL005313010,L005313,2024-07-22,Early,SMS,4,Escalated,TRUE,1405.74,2024-08-02
COL005314001,L005314,2023-01-24,Early,SMS,1,No Response,FALSE,,
COL005314002,L005314,2023-09-28,Early,SMS,2,No Response,FALSE,,
